GC_RPG,CULTURE,Surface_ha,cell,rupromax,rupromin,rupro,hcc,pro
1,Ble,0.880122023949772,8429,216.6,111.16,140.45,34.06,74
1,Ble,3.82615073592425,8427,216.6,76.6,112.4,33.91,60
1,Ble,2.2626245204356,8426,76.6,76.6,76.6,34.24,40
1,Ble,0.647545692356676,8426,76.6,76.6,76.6,34.24,40
1,Ble,2.92427014729304,8517,76.6,76.6,76.6,34.24,40
1,Ble,1.11950762783004,8515,76.6,76.6,76.96,34.24,40
1,Ble,1.88692443038551,8520,186.94,186.94,187.71,37.16,82
1,Ble,2.56754329523302,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.765608807600476,8429,216.6,111.16,140.45,34.06,74
1,Ble,0.575734375100886,8514,81.85,76.6,77.39,34.23,40
1,Ble,4.5482681518856,8426,76.6,76.6,76.6,34.24,40
1,Ble,1.2046306146156,8512,81.85,76.6,79.8,34.2,42
1,Ble,0.658770184070151,8427,216.6,76.6,112.4,33.91,60
1,Ble,2.08642535218819,8512,81.85,76.6,79.8,34.2,42
1,Ble,2.59220316230375,8426,76.6,76.6,76.6,34.24,40
1,Ble,2.64749214158399,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.558803527486627,8426,76.6,76.6,76.6,34.24,40
1,Ble,1.45155067590661,8520,186.94,186.94,187.71,37.16,82
1,Ble,1.76816574402895,8514,81.85,76.6,77.39,34.23,40
1,Ble,2.51882209786401,8516,76.6,76.6,76.6,34.24,40
1,Ble,10.2657406847966,8516,76.6,76.6,76.6,34.24,40
1,Ble,2.188725030775,8426,76.6,76.6,76.6,34.24,40
1,Ble,2.188725030775,8517,76.6,76.6,76.6,34.24,40
1,Ble,0.793181289441232,8516,76.6,76.6,76.6,34.24,40
1,Ble,6.87291253383831,8519,216.6,186.94,187.76,36.3,87
1,Ble,7.71522740684862,8427,216.6,76.6,112.4,33.91,60
1,Ble,5.20867644508751,8427,216.6,76.6,112.4,33.91,60
1,Ble,5.20867644508751,8427,216.6,76.6,112.4,33.91,60
1,Ble,4.0008092790916,8516,76.6,76.6,76.6,34.24,40
1,Ble,0.605276239160635,8426,76.6,76.6,76.6,34.24,40
1,Ble,1.56302632740545,8519,216.6,186.94,187.76,36.3,87
1,Ble,0.932622379099438,8516,76.6,76.6,76.6,34.24,40
1,Ble,4.18246763780295,8426,76.6,76.6,76.6,34.24,40
1,Ble,2.98709777955464,8515,76.6,76.6,76.96,34.24,40
1,Ble,2.98709777955464,8606,86.22,76.6,81.37,34.14,43
1,Ble,1.46809164082458,8517,76.6,76.6,76.6,34.24,40
1,Ble,8.39470763591384,8427,216.6,76.6,112.4,33.91,60
1,Ble,8.39470763591384,8427,216.6,76.6,112.4,33.91,60
1,Ble,1.96939235672131,8430,216.6,186.94,183.8,36.39,84
1,Ble,1.71662738312632,8516,76.6,76.6,76.6,34.24,40
1,Ble,1.74031251538396,8426,76.6,76.6,76.6,34.24,40
1,Ble,1.23189845430758,8511,216.6,76.6,95.59,34.06,51
1,Ble,1.50950027532898,8513,81.85,76.6,80.48,34.2,42
1,Ble,4.02050310053871,8518,216.6,76.6,146.35,34.25,76
1,Ble,3.24997512383293,8519,216.6,186.94,187.76,36.3,87
1,Ble,1.17406818365091,8515,76.6,76.6,76.96,34.24,40
1,Ble,3.09869542821385,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.273073106865305,8426,76.6,76.6,76.6,34.24,40
1,Ble,0.420787421806389,8606,86.22,76.6,81.37,34.14,43
1,Ble,10.465833905093,8516,76.6,76.6,76.6,34.24,40
1,Ble,2.4134252312715,8516,76.6,76.6,76.6,34.24,40
1,Ble,4.05104953804724,8516,76.6,76.6,76.6,34.24,40
1,Ble,0.909198950205976,8514,81.85,76.6,77.39,34.23,40
1,Ble,2.95774568287209,8426,76.6,76.6,76.6,34.24,40
1,Ble,2.2557995590082,8512,81.85,76.6,79.8,34.2,42
1,Ble,1.28994220880875,8516,76.6,76.6,76.6,34.24,40
1,Ble,0.682165337666328,8427,216.6,76.6,112.4,33.91,60
1,Ble,2.83898363095203,8511,216.6,76.6,95.59,34.06,51
1,Ble,4.88636259622334,8516,76.6,76.6,76.6,34.24,40
1,Ble,1.360952186542,8515,76.6,76.6,76.96,34.24,40
1,Ble,2.25305522787226,8515,76.6,76.6,76.96,34.24,40
1,Ble,1.23799134220197,8427,216.6,76.6,112.4,33.91,60
1,Ble,2.15407308662287,8520,186.94,186.94,187.71,37.16,82
1,Ble,2.04613732342133,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.768710600588098,8429,216.6,111.16,140.45,34.06,74
1,Ble,3.11578801442832,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.735477312855423,8426,76.6,76.6,76.6,34.24,40
1,Ble,0.510133482008963,8518,216.6,76.6,146.35,34.25,76
1,Ble,1.56722428720542,8426,76.6,76.6,76.6,34.24,40
1,Ble,0.143937203666925,8426,76.6,76.6,76.6,34.24,40
1,Ble,1.93181021360354,8427,216.6,76.6,112.4,33.91,60
1,Ble,5.78842380413581,8426,76.6,76.6,76.6,34.24,40
1,Ble,5.78842380413581,8517,76.6,76.6,76.6,34.24,40
1,Ble,0.945423153689224,8516,76.6,76.6,76.6,34.24,40
1,Ble,3.5353851460695,8512,81.85,76.6,79.8,34.2,42
1,Ble,2.81700363861006,8426,76.6,76.6,76.6,34.24,40
1,Ble,5.13267858203438,8427,216.6,76.6,112.4,33.91,60
1,Ble,8.54939792454321,8426,76.6,76.6,76.6,34.24,40
1,Ble,5.08541975171509,8427,216.6,76.6,112.4,33.91,60
1,Ble,2.44179441727784,8516,76.6,76.6,76.6,34.24,40
1,Ble,1.47839396874155,8426,76.6,76.6,76.6,34.24,40
1,Ble,2.53300137940221,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.841826402807236,8518,216.6,76.6,146.35,34.25,76
1,Ble,0.532659970198967,8427,216.6,76.6,112.4,33.91,60
1,Ble,2.31243237972966,8426,76.6,76.6,76.6,34.24,40
1,Ble,0.787654684305564,8430,216.6,186.94,183.8,36.39,84
1,Ble,2.77592137792417,8518,216.6,76.6,146.35,34.25,76
1,Ble,1.12028066264135,8426,76.6,76.6,76.6,34.24,40
1,Ble,4.52070329372203,8519,216.6,186.94,187.76,36.3,87
1,Ble,2.49691647739903,8516,76.6,76.6,76.6,34.24,40
1,Ble,2.62653939894405,8516,76.6,76.6,76.6,34.24,40
1,Ble,5.06347939833486,8518,216.6,76.6,146.35,34.25,76
1,Ble,0.704786445883324,8430,216.6,186.94,183.8,36.39,84
1,Ble,2.83979775893511,8516,76.6,76.6,76.6,34.24,40
1,Ble,2.83979775893511,8517,76.6,76.6,76.6,34.24,40
1,Ble,1.80148409380913,8603,86.22,76.6,81.35,34.14,43
1,Ble,0.425366227314968,8515,76.6,76.6,76.96,34.24,40
1,Ble,0.620637312077731,8429,216.6,111.16,140.45,34.06,74
1,Ble,0.620637312077731,8430,216.6,186.94,183.8,36.39,84
1,Ble,1.67537273312062,8518,216.6,76.6,146.35,34.25,76
1,Ble,2.46863775200713,8515,76.6,76.6,76.96,34.24,40
1,Ble,2.49490936200842,8512,81.85,76.6,79.8,34.2,42
1,Ble,2.18606436091065,8518,216.6,76.6,146.35,34.25,76
1,Ble,0.253380459575781,8518,216.6,76.6,146.35,34.25,76
1,Ble,0.253380459575781,8518,216.6,76.6,146.35,34.25,76
1,Ble,3.67977367148642,8516,76.6,76.6,76.6,34.24,40
1,Ble,2.73716338412068,8426,76.6,76.6,76.6,34.24,40
1,Ble,2.73716338412068,8517,76.6,76.6,76.6,34.24,40
1,Ble,8.54176071281644,8426,76.6,76.6,76.6,34.24,40
1,Ble,0.172556654844666,8514,81.85,76.6,77.39,34.23,40
1,Ble,1.31635985343442,8520,186.94,186.94,187.71,37.16,82
1,Ble,2.51276488339582,8516,76.6,76.6,76.6,34.24,40
1,Ble,2.66106982637886,8427,216.6,76.6,112.4,33.91,60
